method,top_k,n_edges_total,observed_mean_score,observed_median_score,observed_std_score,observed_score_constant_flag,inferential_stats_masked,inferential_mask_constant_flag,inferential_mask_low_mixing_flag,null_mean_of_mean_scores,null_std_of_mean_scores,z_mean_score,p_mean_score_empirical,p_mean_score_normal,log10_p_mean_score_normal,p_resolution_floor,rank_sig_count_p005,rank_sig_count_p001,rank_sig_count_normal_p005,rank_sig_count_normal_p001,edge_sig_count_q010,edge_sig_count_q005,swap_success_ratio_mean,swap_success_ratio_min,swap_success_ratio_max,swap_trial_ratio_mean,edge_turnover_mean,edge_turnover_min,edge_turnover_max,retry_fraction,permute_success_fraction,fallback_fraction,target_swaps_per_rep,max_trials_per_rep,threshold_q010,n_sig_q010,realized_fdr_q010,threshold_q005,n_sig_q005,realized_fdr_q005
regulatory,500,10500,0.004003547058518859,0.0036798000025252504,0.001069053644275485,0,0,0,0,0.0033210336696356535,2.9844859454897232e-05,22.868707659553216,0.02040816326530612,4.760557479013919e-116,-115.32234218679989,0.02040816326530612,490,0,492,484,0,0,1.0,1.0,1.0,0.15005667507648468,0.5137500166893005,0.47200000286102295,0.5519999861717224,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
regulatory,1000,10500,0.0034989523891790974,0.0032252953588081303,0.000913147787901962,0,0,0,0,0.0030372568871825933,1.2994969438295811e-05,35.52878432381043,0.02040816326530612,8.835172502010213e-277,-276.0537849667073,0.02040816326530612,990,0,989,984,0,0,1.0,1.0,1.0,0.22199468314647675,0.4609791934490204,0.4440000057220459,0.48399999737739563,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
regulatory,2500,10500,0.0029417159257586383,0.002682479599920603,0.0007391602926821326,0,0,0,0,0.002686120569705963,5.87434260523878e-06,43.510453801976006,0.02040816326530612,0.0,-413.13229430721316,0.02040816326530612,2486,0,2487,2478,0,0,1.0,1.0,1.0,0.18718142807483673,0.44425830245018005,0.43160000443458557,0.46160000562667847,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
omnipath,500,17500,0.006046252471419884,0.006081028048176396,0.0012711521200413243,0,1,0,1,0.005957765970379114,7.288975211849902e-06,12.139770863419065,0.02040816326530612,3.250405926851528e-34,-33.488062398780166,0.02040816326530612,0,0,0,0,0,0,0.7237638831138611,0.6913333535194397,0.7643333077430725,1.0,0.054791662842035294,0.04600000008940697,0.06199999898672104,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
omnipath,1000,17500,0.004795039814082602,0.004053243130984397,0.0015483442107855406,0,0,0,0,0.004518291912972927,9.204528396367095e-06,30.066491092842114,0.02040816326530612,6.64614652229442e-199,-198.1774300884075,0.02040816326530612,817,0,657,610,0,0,1.0,1.0,1.0,0.17312932014465332,0.312187522649765,0.296999990940094,0.32600000500679016,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath,2500,17500,0.003702191445148391,0.003114356385146758,0.0013281627344918592,0,0,0,0,0.0034755952656269073,5.347863861970836e-06,42.37133610701908,0.02040816326530612,0.0,-391.8773865724312,0.02040816326530612,2284,0,2117,2048,0,0,1.0,1.0,1.0,0.11280912905931473,0.44286665320396423,0.4291999936103821,0.46160000562667847,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
omnipath_relaxed,500,31600,0.009445753530387542,0.009177360965242218,0.0012346279428308183,0,0,0,0,0.007251031696796417,7.551407179562375e-05,29.063746032227193,0.02040816326530612,5.158006418933537e-186,-185.28751812173553,0.02040816326530612,497,0,497,490,0,0,1.0,1.0,1.0,0.05739531293511391,0.5565416812896729,0.5299999713897705,0.6079999804496765,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
omnipath_relaxed,1000,31600,0.008520899048232462,0.008189566433429718,0.0012920568229375048,0,0,0,0,0.006826589349657297,3.854752503684722e-05,43.953785697053284,0.02040816326530612,0.0,-421.556725847061,0.02040816326530612,996,0,996,988,0,0,1.0,1.0,1.0,0.08563810586929321,0.48868751525878906,0.47200000286102295,0.5049999952316284,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath_relaxed,2500,31600,0.0070494180394149895,0.006692279795450824,0.0015092326691042168,0,0,0,0,0.006030220538377762,2.045605106104631e-05,49.8237635490793,0.02040816326530612,0.0,-541.14462214688,0.02040816326530612,2490,0,2491,2484,0,0,1.0,1.0,1.0,0.2516758143901825,0.3620416224002838,0.3508000075817108,0.373199999332428,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
dorothea_union_immune_hpn,500,42100,0.015318860520463705,0.014763188210950382,0.0020238682510499615,0,0,0,0,0.012983832508325577,0.00010677800310077146,21.868061983388003,0.02040816326530612,2.6166803913302767e-106,-105.58224932006483,0.02040816326530612,497,0,495,493,0,0,1.0,1.0,1.0,0.18576927483081818,0.4152083396911621,0.3779999911785126,0.4480000138282776,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
dorothea_union_immune_hpn,1000,42100,0.013814882454640446,0.013362920843064785,0.002113099997873023,0,0,0,0,0.012076457031071186,4.8618639993947e-05,35.7563557522246,0.02040816326530612,2.6350192913676477e-280,-279.57921620090536,0.02040816326530612,995,0,995,992,0,0,1.0,1.0,1.0,0.279947429895401,0.34552082419395447,0.3319999873638153,0.367000013589859,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
dorothea_union_immune_hpn,2500,42100,0.011453684923226593,0.010768222261448294,0.002411923735563502,0,0,0,0,0.010156366974115372,2.590387339296285e-05,50.08200431452276,0.02040816326530612,0.0,-546.7492083074302,0.02040816326530612,2492,0,2493,2485,0,0,1.0,1.0,1.0,0.35667118430137634,0.36172500252723694,0.3476000130176544,0.373199999332428,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_union_immune_hpn,500,43750,0.015133423213041286,0.014528808649629354,0.002187933550733856,0,0,0,0,0.01264650747179985,7.972129242261872e-05,31.195125348227755,0.02040816326530612,6.203178456705063e-214,-213.20738572461488,0.02040816326530612,497,0,496,492,0,0,1.0,1.0,1.0,0.155826136469841,0.4349583387374878,0.41200000047683716,0.46000000834465027,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_union_immune_hpn,1000,43750,0.013534364447374677,0.012928526753034348,0.0022582098873990654,0,0,0,0,0.011815314181149006,5.4175961849978194e-05,31.730866897298963,0.02040816326530612,2.9157565855609363e-221,-220.53524873479856,0.02040816326530612,993,0,995,990,0,0,1.0,1.0,1.0,0.28635460138320923,0.3362291753292084,0.31299999356269836,0.3569999933242798,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_union_immune_hpn,2500,43750,0.011191471740094276,0.010383207880859745,0.002441373498815517,0,0,0,0,0.00984897930175066,2.642069011926651e-05,50.81216203934357,0.02040816326530612,0.0,-562.7524345173347,0.02040816326530612,2493,0,2491,2479,0,0,1.0,1.0,1.0,0.3370557725429535,0.37720000743865967,0.3659999966621399,0.3887999951839447,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
dorothea_intersection_immune_hpn,500,3950,0.007593392358185946,0.007151749217882752,0.0018301778986050026,0,0,0,0,0.006717687472701073,3.9262045902432874e-05,22.304106753807844,0.02040816326530612,1.6854992276964e-110,-109.77327144213871,0.02040816326530612,490,0,490,474,0,0,1.0,1.0,1.0,0.3473227024078369,0.3466666638851166,0.32600000500679016,0.3659999966621399,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
dorothea_intersection_immune_hpn,1000,3950,0.006490757189785432,0.0059135568746451605,0.0017093967091516848,0,0,0,0,0.0059870085678994656,2.117665826517623e-05,23.787917422572473,0.02040816326530612,2.2272180052300154e-125,-124.6522372711408,0.02040816326530612,984,0,987,964,0,0,1.0,1.0,1.0,0.4731118679046631,0.31168749928474426,0.29100000858306885,0.32899999618530273,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath_relaxed_immune_hpn,500,39950,0.014860220485858404,0.014242225947479408,0.002221439282093475,0,0,0,0,0.012645664624869823,7.960720540722832e-05,27.818535041414286,0.02040816326530612,1.294456348588823e-170,-169.88791259017822,0.02040816326530612,497,0,496,493,0,0,1.0,1.0,1.0,0.15078897774219513,0.4050833284854889,0.3779999911785126,0.4300000071525574,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
omnipath_relaxed_immune_hpn,1000,39950,0.013263182283240579,0.01268886923789978,0.0022720704930196886,0,0,0,0,0.011768181808292866,4.660372724174522e-05,32.07898877087195,0.02040816326530612,4.3291081300915195e-226,-225.36360156648166,0.02040816326530612,993,0,996,990,0,0,1.0,1.0,1.0,0.31825578212738037,0.2985416650772095,0.2849999964237213,0.32199999690055847,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
omnipath_relaxed_immune_hpn,2500,39950,0.010932050580750084,0.010103823945802802,0.002436961174692932,0,0,0,0,0.009674123488366604,3.0031394999241456e-05,41.88706686879468,0.02040816326530612,0.0,-383.0119776708555,0.02040816326530612,2491,0,2492,2475,0,0,1.0,1.0,1.0,0.33148252964019775,0.37086665630340576,0.35920000076293945,0.38199999928474426,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_union_sources_immune_hpn,500,43750,0.015059232635918964,0.014444816391915083,0.0022052076480668426,0,0,0,0,0.012798544950783253,0.00010673569340724498,21.180240571726312,0.02040816326530612,7.264431465034621e-100,-99.13879836915122,0.02040816326530612,495,0,495,491,0,0,1.0,1.0,1.0,0.1610099822282791,0.40145835280418396,0.3659999966621399,0.4359999895095825,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_union_sources_immune_hpn,1000,43750,0.013453145143576652,0.012873693984001875,0.0022720924097405825,0,0,0,0,0.011873558163642883,5.0668382755247876e-05,31.17500229657841,0.02040816326530612,1.162600527859839e-213,-212.93456948419524,0.02040816326530612,995,0,995,990,0,0,1.0,1.0,1.0,0.31279507279396057,0.30672916769981384,0.289000004529953,0.32499998807907104,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_union_sources_immune_hpn,2500,43750,0.011092066944604793,0.01026757387444377,0.0024589249242878966,0,0,0,0,0.00979993399232626,2.659882557054516e-05,48.57856976703655,0.02040816326530612,0.0,-514.5265937087153,0.02040816326530612,2490,0,2491,2476,0,0,1.0,1.0,1.0,0.3281669318675995,0.3714749813079834,0.36039999127388,0.38199999928474426,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_union_targets_immune_hpn,500,39950,0.014940132592394347,0.014307554345577955,0.0022054776947535463,0,0,0,0,0.01256067305803299,8.831974264467135e-05,26.94142256497502,0.02040816326530612,3.5948903773753894e-160,-159.4443143484596,0.02040816326530612,497,0,496,491,0,0,1.0,1.0,1.0,0.15035434067249298,0.4282083511352539,0.39800000190734863,0.4560000002384186,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_union_targets_immune_hpn,1000,39950,0.013347907401457174,0.012781471320811439,0.0022604845536416153,0,0,0,0,0.011725206859409809,4.53958309662994e-05,35.74558437990546,0.02040816326530612,3.873964231078524e-280,-279.4118443935077,0.02040816326530612,993,0,996,991,0,0,1.0,1.0,1.0,0.3029356300830841,0.32122915983200073,0.29600000381469727,0.34299999475479126,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_union_targets_immune_hpn,2500,39950,0.011033048640214389,0.010215618026753265,0.0024215291336040176,0,0,0,0,0.009732597507536411,2.7010004487237893e-05,48.1470147531971,0.02040816326530612,0.0,-505.45847228402425,0.02040816326530612,2491,0,2491,2477,0,0,1.0,1.0,1.0,0.3384641408920288,0.37927499413490295,0.3684000074863434,0.39320001006126404,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_relaxed_immune_hpn,500,22200,0.011022144944061753,0.010085524525493383,0.0025928834976865745,0,0,0,0,0.009721591137349606,7.017548341536894e-05,18.532879645178724,0.02040816326530612,5.606143210012727e-77,-76.25133581229747,0.02040816326530612,486,0,490,457,0,0,1.0,1.0,1.0,0.4638091027736664,0.3137916624546051,0.2939999997615814,0.34599998593330383,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_relaxed_immune_hpn,1000,22200,0.009418852371687332,0.00849704584106803,0.002446055609108472,0,0,0,0,0.008110282011330128,3.819318953901529e-05,34.26187605406956,0.02040816326530612,1.4513173781371595e-257,-256.8382376044462,0.02040816326530612,989,0,990,958,0,0,1.0,1.0,1.0,0.5268733501434326,0.406083345413208,0.39399999380111694,0.421999990940094,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_relaxed_immune_hpn,2500,22200,0.0076571656107031205,0.006978093180805445,0.0021364712971205335,0,0,0,0,0.00675143813714385,1.5127972801565193e-05,59.871036626567964,0.02040816326530612,0.0,-780.5496218194716,0.02040816326530612,2474,0,2465,2437,0,0,1.0,1.0,1.0,0.5012555122375488,0.4158083498477936,0.4036000072956085,0.4343999922275543,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_moderate_immune_hpn,500,13600,0.007388311879965584,0.007064837729558349,0.0013313125438336713,0,0,0,0,0.005432677920907736,6.71663146931678e-05,29.116290492866444,0.02040816326530612,1.116533509031194e-186,-185.95212823849582,0.02040816326530612,497,0,499,498,0,0,1.0,1.0,1.0,0.2056935876607895,0.5689166188240051,0.5320000052452087,0.5920000076293945,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_moderate_immune_hpn,1000,13600,0.006494550373297021,0.006046999309381301,0.0013066070174055037,0,0,0,0,0.005123855546116829,3.123259011772461e-05,43.88668304892313,0.02040816326530612,0.0,-420.27612592823704,0.02040816326530612,998,0,998,997,0,0,1.0,1.0,1.0,0.16994746029376984,0.5385833382606506,0.5220000147819519,0.5619999766349792,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_moderate_immune_hpn,2500,13600,0.005501827632266007,0.00512228075598107,0.0011720023737487246,0,0,0,0,0.004787736106663942,1.3653862879436929e-05,52.29959313403621,0.02040816326530612,0.0,-596.0691822235062,0.02040816326530612,2498,0,2498,2497,0,0,1.0,1.0,1.0,0.4191529452800751,0.3553166389465332,0.3447999954223633,0.36640000343322754,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
intercell_strict_immune_hpn,500,10250,0.006930575066520619,0.006554320066546401,0.001402554069676338,0,0,0,0,0.005179422441869974,6.549896352225915e-05,26.735577232759674,0.02040816326530612,9.084520367478553e-158,-157.04169799705775,0.02040816326530612,498,0,498,498,0,0,1.0,1.0,1.0,0.14577646553516388,0.5530416965484619,0.515999972820282,0.5860000252723694,0.0,0.0,0.0,3000,240000,nan,0,nan,nan,0,nan
intercell_strict_immune_hpn,1000,10250,0.006081327845339837,0.005600270815193653,0.0013117393593857823,0,0,0,0,0.004918979946523905,3.218895653844811e-05,36.11014421413199,0.02040816326530612,7.860114847280186e-286,-285.10457110826394,0.02040816326530612,998,0,998,997,0,0,1.0,1.0,1.0,0.18381661176681519,0.47487500309944153,0.4569999873638153,0.4970000088214874,0.0,0.0,0.0,6000,480000,nan,0,nan,nan,0,nan
intercell_strict_immune_hpn,2500,10250,0.005073379935579946,0.004746401682496071,0.0011904365356609201,0,0,0,0,0.004497049376368523,1.4566685422323644e-05,39.56497328920249,0.02040816326530612,0.0,-341.91617005988405,0.02040816326530612,2495,0,2497,2495,0,0,1.0,1.0,1.0,0.7103825211524963,0.264433354139328,0.2556000053882599,0.27239999175071716,0.0,0.0,0.0,15000,1200000,nan,0,nan,nan,0,nan
